Internship_ID,Company,Required_Field,Required_Skills,Location,Role
7535,Green Inc,Computer Science,ML,Kaduna,Software Engineering Intern
7536,"Wong, Scott and Marks",Pharmacy,"Drug Design, Pharmacology, Clinical Pharmacy",Onitsha,Design Intern
7537,Martin PLC,Electrical Engineering,"Embedded Systems, Signal Processing, C++",Ibadan,Electrical Engineering Intern
7538,Rush and Sons,Medical Laboratory Science,"Lab Techniques, Microscopy",Abuja,Administrative Intern
7539,"Orozco, Wilkins and Wilkerson",Computer Science,"C++, Java, SQL",Lagos,Software Engineering Intern
7540,"Jones, Shepherd and Espinoza",Electrical Engineering,"Power Systems, Embedded Systems",Kaduna,Electrical Engineering Intern
7541,Mcneil Group,Pharmacy,"Drug Design, Clinical Pharmacy",Benin City,Design Intern
7542,Huber Group,Computer Science,"Python, SQL",Benin City,Software Engineering Intern
7543,"Kim, Gamble and Cochran",Computer Science,"Python, SQL, ML",Kano,Software Engineering Intern
7544,"Pruitt, Lawrence and Alvarado",Mechanical Engineering,"SolidWorks, CAD, MATLAB",Onitsha,Mechanical Engineering Intern
7545,"Vance, Phillips and Mccormick",Computer Science,"Java, C++",Port Harcourt,Software Engineering Intern
7546,Hernandez Inc,Pharmacy,"Chemistry, Drug Design, Clinical Pharmacy",Kaduna,Design Intern
7547,Payne-Becker,Medical Laboratory Science,"Pathology, Biochemistry",Kano,Administrative Intern
7548,Reid-Foster,Nursing Science,"Patient Care, Pharmacology",Kano,Nursing Intern
7549,Myers-Hartman,Architecture,Urban Planning,Kano,Administrative Intern
7550,Lewis-Tucker,Mechanical Engineering,Finite Element Analysis,Onitsha,Mechanical Engineering Intern
7551,Kent PLC,Architecture,Urban Planning,Onitsha,Administrative Intern
7552,"Stevens, Wood and Farley",Petroleum Engineering,"Reservoir Engineering, Geophysics",Kaduna,Petroleum Engineering Intern
7553,"Smith, Mcclure and Paul",Business Administration,Management,Aba,Business Intern
7554,Cannon LLC,Architecture,"Building Design, Sustainable Architecture",Ibadan,Design Intern
7555,Clarke LLC,Petroleum Engineering,"Geophysics, Drilling",Lagos,Petroleum Engineering Intern
7556,Payne-Meyer,Electrical Engineering,"C++, Signal Processing",Kaduna,Electrical Engineering Intern
7557,Burns Ltd,Pharmacy,"Drug Design, Clinical Pharmacy",Lagos,Design Intern
7558,Davies-Cox,Nursing Science,"Patient Care, Clinical Practice",Abuja,Nursing Intern
7559,Frey-Costa,Architecture,Urban Planning,Aba,Administrative Intern
7560,Brown-Taylor,Mechanical Engineering,"Finite Element Analysis, CAD, SolidWorks",Benin City,Mechanical Engineering Intern
7561,"Johnson, Wilson and King",Mechanical Engineering,MATLAB,Benin City,Mechanical Engineering Intern
7562,Henderson-Kelly,Civil Engineering,"AutoCAD, Construction Management",Abuja,Civil Engineering Intern
7563,Scott-Leonard,Pharmacy,Drug Design,Lagos,Design Intern
7564,Wilkerson-Ortiz,Mechanical Engineering,CAD,Onitsha,Mechanical Engineering Intern
7565,Wright-Johns,Medical Laboratory Science,"Biochemistry, Lab Techniques",Ibadan,Administrative Intern
7566,Ward PLC,Mechanical Engineering,"SolidWorks, CAD, Finite Element Analysis",Kaduna,Mechanical Engineering Intern
7567,Webb Inc,Mechanical Engineering,"CAD, MATLAB, SolidWorks",Aba,Mechanical Engineering Intern
7568,"Wood, Morales and Gutierrez",Business Administration,"Human Resources, Finance",Kano,HR Intern
7569,Logan Ltd,Electrical Engineering,"C++, Signal Processing, Circuit Design",Kaduna,Electrical Engineering Intern
7570,"Wells, Jarvis and Macdonald",Civil Engineering,"Structural Analysis, AutoCAD, Construction Management",Kaduna,Civil Engineering Intern
7571,Stevens-Richardson,Business Administration,Finance,Onitsha,Finance Intern
7572,Hoover LLC,Pharmacy,Chemistry,Kaduna,Administrative Intern
7573,Bradley-Gibson,Nursing Science,"Anatomy, Clinical Practice",Lagos,Nursing Intern
7574,Alexander Ltd,Petroleum Engineering,"Drilling, Geophysics, Oil Field Operations",Benin City,Petroleum Engineering Intern
7575,"Phillips, Rhodes and Sampson",Electrical Engineering,Embedded Systems,Onitsha,Electrical Engineering Intern
7576,"Riley, Conner and Miller",Business Administration,"Marketing, Project Management",Ibadan,Project Management Intern
7577,"Wright, Hunter and Bass",Nursing Science,"Pharmacology, Clinical Practice",Aba,Nursing Intern
7578,Thompson Ltd,Medical Laboratory Science,"Pathology, Microscopy",Aba,Administrative Intern
7579,"Howard, Perry and Williams",Petroleum Engineering,"Drilling, Reservoir Engineering, Oil Field Operations",Enugu,Petroleum Engineering Intern
7580,Graham PLC,Medical Laboratory Science,"Biochemistry, Microscopy",Port Harcourt,Administrative Intern
7581,Dougherty Group,Architecture,Sustainable Architecture,Enugu,Administrative Intern
7582,Gilbert-Smith,Architecture,"Building Design, AutoCAD, Urban Planning",Ibadan,Design Intern
7583,Jones-Green,Architecture,"Sustainable Architecture, AutoCAD, Building Design",Kano,Design Intern
7584,"Richardson, Bailey and Ramirez",Computer Science,"ML, C++, Java",Kaduna,Software Engineering Intern
7585,"Turner, Nelson and Clements",Pharmacy,"Drug Design, Pharmacology",Kano,Design Intern
7586,Boyd Inc,Mechanical Engineering,SolidWorks,Port Harcourt,Mechanical Engineering Intern
7587,Burton-Jones,Business Administration,"Management, Project Management, Marketing",Kano,Project Management Intern
7588,Yang-Walton,Business Administration,Project Management,Ibadan,Project Management Intern
7589,Murray-Velasquez,Pharmacy,"Drug Design, Clinical Pharmacy, Pharmacology",Kano,Design Intern
7590,Lopez and Sons,Civil Engineering,"Construction Management, Surveying, Structural Analysis",Enugu,Civil Engineering Intern
7591,Mccoy Ltd,Electrical Engineering,"Circuit Design, Signal Processing, Power Systems",Ibadan,Electrical Engineering Intern
7592,Horton-Young,Nursing Science,"Anatomy, Clinical Practice",Aba,Nursing Intern
7593,"Cordova, Peters and Jensen",Civil Engineering,"AutoCAD, Structural Analysis",Ibadan,Civil Engineering Intern
7594,"Rojas, Taylor and Kelly",Nursing Science,Clinical Practice,Kaduna,Nursing Intern
7595,Barr Group,Nursing Science,"Patient Care, Pharmacology, Clinical Practice",Port Harcourt,Nursing Intern
7596,Mcguire Group,Civil Engineering,"AutoCAD, Structural Analysis, Surveying",Kano,Civil Engineering Intern
7597,Camacho PLC,Electrical Engineering,"C++, Circuit Design, Embedded Systems",Lagos,Electrical Engineering Intern
7598,Farrell-Bell,Architecture,"Building Design, Sustainable Architecture, Urban Planning",Kano,Design Intern
7599,Castro Group,Medical Laboratory Science,"Pathology, Microscopy, Biochemistry",Abuja,Administrative Intern
7600,White-Massey,Architecture,"Urban Planning, Building Design, AutoCAD",Enugu,Design Intern
7601,Pham-Gonzalez,Computer Science,"SQL, C++, Java",Lagos,Software Engineering Intern
7602,"Griffin, Cook and Anderson",Civil Engineering,"Surveying, Construction Management",Lagos,Civil Engineering Intern
7603,Randall-Gonzalez,Civil Engineering,"AutoCAD, Structural Analysis",Port Harcourt,Civil Engineering Intern
7604,"Shepard, Olsen and Perry",Mechanical Engineering,Finite Element Analysis,Port Harcourt,Mechanical Engineering Intern
7605,Washington-Barajas,Electrical Engineering,"Signal Processing, Embedded Systems, Power Systems",Abuja,Electrical Engineering Intern
7606,Romero-Brewer,Petroleum Engineering,Reservoir Engineering,Benin City,Petroleum Engineering Intern
7607,Willis and Sons,Medical Laboratory Science,Lab Techniques,Kaduna,Administrative Intern
7608,Robinson-Brown,Civil Engineering,"Surveying, AutoCAD",Aba,Civil Engineering Intern
7609,"Delacruz, Morales and Hernandez",Mechanical Engineering,Finite Element Analysis,Ibadan,Mechanical Engineering Intern
7610,Lopez-Gallagher,Nursing Science,Clinical Practice,Port Harcourt,Nursing Intern
7611,Christensen Ltd,Civil Engineering,Structural Analysis,Abuja,Civil Engineering Intern
7612,"Anthony, Riggs and Vaughan",Petroleum Engineering,Geophysics,Enugu,Petroleum Engineering Intern
7613,"Brown, Villa and Berry",Nursing Science,"Clinical Practice, Patient Care, Anatomy",Ibadan,Nursing Intern
7614,Freeman-Marsh,Electrical Engineering,"C++, Signal Processing",Kaduna,Electrical Engineering Intern
7615,"Pitts, Hicks and Cooke",Architecture,"Sustainable Architecture, Urban Planning, Building Design",Port Harcourt,Design Intern
7616,Conrad and Sons,Architecture,Building Design,Kaduna,Design Intern
7617,Delgado Ltd,Medical Laboratory Science,"Pathology, Biochemistry, Lab Techniques",Enugu,Administrative Intern
7618,Smith PLC,Nursing Science,"Anatomy, Patient Care",Onitsha,Nursing Intern
7619,Dominguez LLC,Pharmacy,Pharmacology,Ibadan,Administrative Intern
7620,Murphy LLC,Petroleum Engineering,Geophysics,Onitsha,Petroleum Engineering Intern
7621,James-Alvarez,Architecture,"Sustainable Architecture, Building Design, AutoCAD",Kaduna,Design Intern
7622,Mullen-Johnson,Petroleum Engineering,"Reservoir Engineering, Drilling",Ibadan,Petroleum Engineering Intern
7623,Burns Ltd,Electrical Engineering,"Power Systems, Circuit Design",Kano,Electrical Engineering Intern
7624,"Delgado, Vincent and Patel",Petroleum Engineering,"Oil Field Operations, Reservoir Engineering",Kano,Petroleum Engineering Intern
7625,"Herrera, Perez and Johnson",Electrical Engineering,"Power Systems, Signal Processing, Embedded Systems",Benin City,Electrical Engineering Intern
7626,Long-Anderson,Pharmacy,"Drug Design, Chemistry, Clinical Pharmacy",Enugu,Design Intern
7627,Andrade-Lin,Architecture,Urban Planning,Port Harcourt,Administrative Intern
7628,Snow PLC,Mechanical Engineering,MATLAB,Enugu,Mechanical Engineering Intern
7629,"Perez, Murphy and Banks",Business Administration,Marketing,Aba,Business Intern
7630,"Bowen, Bartlett and Foley",Architecture,"Urban Planning, Building Design",Ibadan,Design Intern
7631,"White, Lyons and Stewart",Pharmacy,"Drug Design, Pharmacology, Chemistry",Aba,Design Intern
7632,Oneill-Taylor,Petroleum Engineering,"Geophysics, Reservoir Engineering, Drilling",Lagos,Petroleum Engineering Intern
7633,Jones Inc,Medical Laboratory Science,"Biochemistry, Lab Techniques, Microscopy",Onitsha,Administrative Intern
7634,"Adams, Drake and Graves",Business Administration,"Project Management, Human Resources, Marketing",Enugu,HR Intern
7635,Thompson-Lee,Nursing Science,"Anatomy, Patient Care",Lagos,Nursing Intern
7636,Eaton-Berger,Medical Laboratory Science,"Microscopy, Biochemistry, Lab Techniques",Kaduna,Administrative Intern
7637,Cruz-Gallagher,Nursing Science,"Anatomy, Pharmacology, Clinical Practice",Benin City,Nursing Intern
7638,Strickland Group,Computer Science,"Python, ML, SQL",Onitsha,Software Engineering Intern
7639,"Barrera, Lawson and Cook",Architecture,"Sustainable Architecture, Building Design",Lagos,Design Intern
7640,Holmes-Choi,Medical Laboratory Science,"Biochemistry, Pathology",Kaduna,Administrative Intern
7641,Sullivan-Simmons,Civil Engineering,AutoCAD,Abuja,Civil Engineering Intern
7642,Nguyen Inc,Computer Science,Java,Ibadan,Software Engineering Intern
7643,Moore Inc,Nursing Science,"Pharmacology, Anatomy",Enugu,Nursing Intern
7644,Graham Group,Civil Engineering,"Construction Management, AutoCAD, Structural Analysis",Ibadan,Civil Engineering Intern
7645,"Hardin, Mercer and Liu",Nursing Science,"Patient Care, Clinical Practice",Onitsha,Nursing Intern
7646,Weaver-Adams,Electrical Engineering,"Signal Processing, C++",Benin City,Electrical Engineering Intern
7647,Newman-Adams,Civil Engineering,AutoCAD,Enugu,Civil Engineering Intern
7648,"Wilson, Cross and Simpson",Pharmacy,"Pharmacology, Drug Design, Clinical Pharmacy",Abuja,Design Intern
7649,"Hoffman, Cohen and Williams",Computer Science,"SQL, C++",Aba,Software Engineering Intern
7650,"Thomas, Gaines and Huang",Petroleum Engineering,"Drilling, Reservoir Engineering",Enugu,Petroleum Engineering Intern
7651,"Rodriguez, Hicks and Macias",Electrical Engineering,Circuit Design,Aba,Electrical Engineering Intern
7652,"Green, Morgan and Beltran",Business Administration,"Management, Finance, Project Management",Kaduna,Finance Intern
7653,Jackson PLC,Business Administration,Finance,Port Harcourt,Finance Intern
7654,Moore PLC,Pharmacy,"Drug Design, Pharmacology",Enugu,Design Intern
7655,"Lawrence, Ford and Everett",Medical Laboratory Science,"Biochemistry, Pathology, Microscopy",Aba,Administrative Intern
7656,Bishop-Reese,Mechanical Engineering,"MATLAB, CAD, Finite Element Analysis",Kaduna,Mechanical Engineering Intern
7657,"Wagner, Jackson and Winters",Electrical Engineering,Embedded Systems,Onitsha,Electrical Engineering Intern
7658,Case Inc,Electrical Engineering,C++,Aba,Electrical Engineering Intern
7659,"Harris, French and Williams",Pharmacy,Pharmacology,Lagos,Administrative Intern
7660,Morton LLC,Civil Engineering,"Surveying, Structural Analysis",Aba,Civil Engineering Intern
7661,"Flores, Harris and Brown",Pharmacy,Drug Design,Onitsha,Design Intern
7662,Caldwell-Owens,Nursing Science,Anatomy,Kaduna,Nursing Intern
7663,Williams Group,Nursing Science,"Pharmacology, Patient Care, Clinical Practice",Benin City,Nursing Intern
7664,Villa-Cortez,Electrical Engineering,Power Systems,Kaduna,Electrical Engineering Intern
7665,"Lee, Smith and Rivera",Architecture,"Urban Planning, AutoCAD, Sustainable Architecture",Onitsha,Administrative Intern
7666,Nicholson Group,Nursing Science,Pharmacology,Benin City,Nursing Intern
7667,Miller-Hernandez,Pharmacy,"Drug Design, Chemistry",Port Harcourt,Design Intern
7668,Harrison Group,Petroleum Engineering,Oil Field Operations,Kano,Petroleum Engineering Intern
7669,"Garcia, Bell and Robinson",Petroleum Engineering,"Drilling, Reservoir Engineering, Geophysics",Benin City,Petroleum Engineering Intern
7670,"Price, Wright and Salazar",Pharmacy,"Drug Design, Chemistry, Clinical Pharmacy",Kaduna,Design Intern
7671,"Payne, Burton and Long",Medical Laboratory Science,Microscopy,Ibadan,Administrative Intern
7672,Cruz Ltd,Petroleum Engineering,"Geophysics, Reservoir Engineering",Port Harcourt,Petroleum Engineering Intern
7673,Galvan-Werner,Architecture,Building Design,Aba,Design Intern
7674,Olson-Travis,Electrical Engineering,"Embedded Systems, C++",Onitsha,Electrical Engineering Intern
7675,"Harrison, Gutierrez and Jones",Electrical Engineering,"Circuit Design, Power Systems, Embedded Systems",Lagos,Electrical Engineering Intern
7676,Rose-Bean,Business Administration,"Human Resources, Marketing, Finance",Ibadan,HR Intern
7677,Bennett-Jones,Computer Science,"Python, C++",Benin City,Software Engineering Intern
7678,"Bowen, Martin and Rivera",Business Administration,"Finance, Marketing",Ibadan,Finance Intern
7679,"Roberts, Gutierrez and Petty",Civil Engineering,"Surveying, AutoCAD, Construction Management",Enugu,Civil Engineering Intern
7680,Moreno and Sons,Mechanical Engineering,"SolidWorks, CAD, MATLAB",Kaduna,Mechanical Engineering Intern
7681,Robinson LLC,Nursing Science,"Patient Care, Clinical Practice",Kano,Nursing Intern
7682,Buchanan Ltd,Petroleum Engineering,"Reservoir Engineering, Oil Field Operations",Enugu,Petroleum Engineering Intern
7683,Hebert-Keith,Mechanical Engineering,SolidWorks,Abuja,Mechanical Engineering Intern
7684,Gentry-Frank,Medical Laboratory Science,"Pathology, Lab Techniques, Microscopy",Kaduna,Administrative Intern
7685,"Rodriguez, Roberts and Davis",Pharmacy,"Clinical Pharmacy, Drug Design",Kaduna,Design Intern
7686,Thomas-Watson,Civil Engineering,"Surveying, Structural Analysis",Benin City,Civil Engineering Intern
7687,Hayes-Miller,Medical Laboratory Science,"Microscopy, Biochemistry, Pathology",Abuja,Administrative Intern
7688,Wilson-Garcia,Business Administration,"Management, Marketing, Finance",Kano,Finance Intern
7689,Allen PLC,Architecture,"Urban Planning, AutoCAD",Port Harcourt,Administrative Intern
7690,"Cummings, Mcknight and Roberts",Computer Science,Python,Kaduna,Software Engineering Intern
7691,Reid-Graham,Architecture,"AutoCAD, Urban Planning, Sustainable Architecture",Abuja,Administrative Intern
7692,Young-Snow,Nursing Science,"Anatomy, Clinical Practice",Ibadan,Nursing Intern
7693,"Carey, Morris and Lee",Architecture,"Sustainable Architecture, Building Design",Abuja,Design Intern
7694,"Gutierrez, Drake and Rowland",Petroleum Engineering,Geophysics,Enugu,Petroleum Engineering Intern
7695,Whitehead and Sons,Business Administration,"Project Management, Finance",Ibadan,Finance Intern
7696,Ortiz-Mason,Business Administration,Marketing,Aba,Business Intern
7697,Mitchell-Vaughn,Computer Science,"Python, C++, ML",Lagos,Software Engineering Intern
7698,"Hill, Wiley and Taylor",Business Administration,Management,Lagos,Business Intern
7699,Clark Group,Mechanical Engineering,"SolidWorks, CAD",Benin City,Mechanical Engineering Intern
7700,Garcia-Hernandez,Business Administration,"Human Resources, Marketing, Management",Kaduna,HR Intern
7701,Gonzalez PLC,Mechanical Engineering,"MATLAB, Finite Element Analysis, CAD",Kaduna,Mechanical Engineering Intern
7702,Jimenez Group,Mechanical Engineering,CAD,Ibadan,Mechanical Engineering Intern
7703,"Heath, Phelps and Davis",Mechanical Engineering,"MATLAB, CAD, Finite Element Analysis",Port Harcourt,Mechanical Engineering Intern
7704,"Griffin, Harrington and Beltran",Petroleum Engineering,"Reservoir Engineering, Oil Field Operations, Geophysics",Enugu,Petroleum Engineering Intern
7705,Farrell LLC,Medical Laboratory Science,Lab Techniques,Lagos,Administrative Intern
7706,Hernandez PLC,Business Administration,"Finance, Management",Abuja,Finance Intern
7707,Hart-Lee,Computer Science,Java,Enugu,Software Engineering Intern
7708,Jones Group,Pharmacy,Pharmacology,Onitsha,Administrative Intern
7709,Price PLC,Mechanical Engineering,"Finite Element Analysis, SolidWorks, CAD",Onitsha,Mechanical Engineering Intern
7710,Chapman-Johnson,Computer Science,"Python, C++, Java",Ibadan,Software Engineering Intern
7711,Hanson PLC,Pharmacy,Drug Design,Ibadan,Design Intern
7712,Roberson PLC,Medical Laboratory Science,"Microscopy, Lab Techniques",Kano,Administrative Intern
7713,"Green, Patton and Taylor",Pharmacy,Clinical Pharmacy,Benin City,Administrative Intern
7714,Patton and Sons,Business Administration,Management,Abuja,Business Intern
7715,Oneal-Jacobs,Computer Science,"SQL, Python",Enugu,Software Engineering Intern
7716,"White, Jimenez and Wells",Architecture,AutoCAD,Ibadan,Administrative Intern
7717,Jackson PLC,Nursing Science,Clinical Practice,Abuja,Nursing Intern
7718,Hanna Inc,Pharmacy,Chemistry,Port Harcourt,Administrative Intern
7719,"Holmes, Morris and Caldwell",Computer Science,"C++, Python, ML",Abuja,Software Engineering Intern
7720,Sanchez-Mcconnell,Civil Engineering,"Construction Management, Structural Analysis",Abuja,Civil Engineering Intern
7721,Henson Inc,Computer Science,"Java, SQL",Kano,Software Engineering Intern
7722,"Rodriguez, Duncan and Parker",Petroleum Engineering,"Drilling, Geophysics, Oil Field Operations",Lagos,Petroleum Engineering Intern
7723,Rodriguez Group,Architecture,Sustainable Architecture,Port Harcourt,Administrative Intern
7724,"Byrd, Oconnor and Calderon",Nursing Science,"Pharmacology, Clinical Practice",Aba,Nursing Intern
7725,"Charles, Klein and Shea",Nursing Science,"Patient Care, Clinical Practice, Pharmacology",Onitsha,Nursing Intern
7726,"Smith, Mason and Johnson",Pharmacy,Chemistry,Lagos,Administrative Intern
7727,"Carlson, Turner and Harrison",Petroleum Engineering,Oil Field Operations,Ibadan,Petroleum Engineering Intern
7728,"Nelson, Solis and Dillon",Electrical Engineering,Circuit Design,Benin City,Electrical Engineering Intern
7729,Barr LLC,Mechanical Engineering,"SolidWorks, Finite Element Analysis",Kano,Mechanical Engineering Intern
7730,"King, Flores and Jensen",Business Administration,"Marketing, Finance",Abuja,Finance Intern
7731,Carter PLC,Pharmacy,"Chemistry, Drug Design",Kaduna,Design Intern
7732,"Shah, Bailey and James",Electrical Engineering,Power Systems,Onitsha,Electrical Engineering Intern
7733,Miller Inc,Business Administration,Management,Ibadan,Business Intern
7734,"Johnson, Mccarthy and Chaney",Mechanical Engineering,"CAD, SolidWorks, Finite Element Analysis",Aba,Mechanical Engineering Intern
7735,"Smith, Pruitt and Johnson",Computer Science,Java,Kaduna,Software Engineering Intern
7736,Sandoval-Brown,Computer Science,"Python, Java",Enugu,Software Engineering Intern
7737,Davis LLC,Architecture,Sustainable Architecture,Enugu,Administrative Intern
7738,"Ramos, Butler and Ruiz",Mechanical Engineering,"Finite Element Analysis, CAD",Ibadan,Mechanical Engineering Intern
7739,Taylor Ltd,Petroleum Engineering,"Geophysics, Oil Field Operations",Kaduna,Petroleum Engineering Intern
7740,Scott-Richardson,Civil Engineering,AutoCAD,Aba,Civil Engineering Intern
7741,James-Lee,Architecture,"Sustainable Architecture, Urban Planning",Enugu,Administrative Intern
7742,Perry and Sons,Pharmacy,"Chemistry, Drug Design, Clinical Pharmacy",Kano,Design Intern
7743,"Lee, Moore and Mcneil",Mechanical Engineering,"Finite Element Analysis, MATLAB",Abuja,Mechanical Engineering Intern
7744,"Quinn, Hill and Holmes",Architecture,"AutoCAD, Building Design",Port Harcourt,Design Intern
7745,Ortiz-Mays,Civil Engineering,"AutoCAD, Surveying, Construction Management",Port Harcourt,Civil Engineering Intern
7746,"Reed, Rowe and Taylor",Pharmacy,"Chemistry, Pharmacology, Drug Design",Benin City,Design Intern
7747,Small LLC,Petroleum Engineering,Reservoir Engineering,Port Harcourt,Petroleum Engineering Intern
7748,"Cooper, Miller and Flores",Medical Laboratory Science,"Lab Techniques, Biochemistry",Abuja,Administrative Intern
7749,Parker and Sons,Nursing Science,Clinical Practice,Benin City,Nursing Intern
7750,Ramirez-Jones,Civil Engineering,AutoCAD,Kano,Civil Engineering Intern
7751,Vaughan Inc,Petroleum Engineering,"Oil Field Operations, Reservoir Engineering, Drilling",Port Harcourt,Petroleum Engineering Intern
7752,"Brown, Smith and Figueroa",Computer Science,"ML, C++",Benin City,Software Engineering Intern
7753,Hill Inc,Business Administration,"Marketing, Finance",Kaduna,Finance Intern
7754,"Horton, Castillo and Miller",Electrical Engineering,"Embedded Systems, Power Systems",Aba,Electrical Engineering Intern
7755,Anderson PLC,Electrical Engineering,C++,Lagos,Electrical Engineering Intern
7756,"Shaffer, Kim and Richardson",Mechanical Engineering,"Finite Element Analysis, MATLAB, SolidWorks",Ibadan,Mechanical Engineering Intern
7757,Miller-Fuller,Electrical Engineering,"Circuit Design, Embedded Systems",Enugu,Electrical Engineering Intern
7758,Stephenson-Wilson,Civil Engineering,Construction Management,Port Harcourt,Civil Engineering Intern
7759,Brock Ltd,Architecture,"Building Design, Urban Planning",Benin City,Design Intern
7760,Dillon-Stuart,Computer Science,"Python, Java, SQL",Lagos,Software Engineering Intern
7761,"Brown, Sparks and Hernandez",Pharmacy,"Drug Design, Pharmacology, Clinical Pharmacy",Lagos,Design Intern
7762,Castaneda PLC,Electrical Engineering,"Power Systems, Embedded Systems",Kano,Electrical Engineering Intern
7763,Webb-Ramirez,Mechanical Engineering,"SolidWorks, MATLAB",Kaduna,Mechanical Engineering Intern
7764,Willis Inc,Petroleum Engineering,"Geophysics, Reservoir Engineering, Oil Field Operations",Benin City,Petroleum Engineering Intern
7765,Sanders LLC,Petroleum Engineering,"Oil Field Operations, Drilling, Reservoir Engineering",Lagos,Petroleum Engineering Intern
7766,"Smith, Rios and Mendez",Electrical Engineering,"Embedded Systems, Circuit Design",Onitsha,Electrical Engineering Intern
7767,Gillespie Ltd,Medical Laboratory Science,"Microscopy, Biochemistry",Aba,Administrative Intern
7768,Bell-Burns,Mechanical Engineering,CAD,Enugu,Mechanical Engineering Intern
7769,"Hughes, Osborne and Gonzalez",Pharmacy,Pharmacology,Aba,Administrative Intern
7770,"Dunn, Wright and Thomas",Mechanical Engineering,SolidWorks,Onitsha,Mechanical Engineering Intern
7771,"Warren, Gentry and Taylor",Business Administration,"Finance, Marketing, Project Management",Benin City,Finance Intern
7772,Meadows LLC,Pharmacy,Clinical Pharmacy,Kano,Administrative Intern
7773,Moss-Lee,Nursing Science,"Clinical Practice, Patient Care, Anatomy",Port Harcourt,Nursing Intern
7774,Smith-Garrett,Petroleum Engineering,"Geophysics, Oil Field Operations",Lagos,Petroleum Engineering Intern
7775,Nguyen Ltd,Civil Engineering,"Construction Management, Structural Analysis",Aba,Civil Engineering Intern
7776,"Werner, Delgado and Franklin",Nursing Science,Clinical Practice,Aba,Nursing Intern
7777,Leonard PLC,Business Administration,"Management, Human Resources, Project Management",Ibadan,HR Intern
7778,Fields-Young,Pharmacy,"Pharmacology, Drug Design",Onitsha,Design Intern
7779,Patterson Ltd,Civil Engineering,Surveying,Ibadan,Civil Engineering Intern
7780,Morrow-Johnson,Mechanical Engineering,"SolidWorks, Finite Element Analysis",Aba,Mechanical Engineering Intern
7781,Young Group,Computer Science,"ML, C++, Java",Ibadan,Software Engineering Intern
7782,Ramirez-Gonzalez,Civil Engineering,Construction Management,Kaduna,Civil Engineering Intern
7783,Rodriguez and Sons,Computer Science,"SQL, C++",Onitsha,Software Engineering Intern
7784,"Shannon, Mendez and Ramirez",Computer Science,Python,Aba,Software Engineering Intern
7785,Brown Group,Civil Engineering,"Construction Management, Structural Analysis, Surveying",Enugu,Civil Engineering Intern
7786,Lin-Obrien,Petroleum Engineering,"Drilling, Geophysics",Kano,Petroleum Engineering Intern
7787,Dean-Carpenter,Medical Laboratory Science,"Microscopy, Lab Techniques, Pathology",Onitsha,Administrative Intern
7788,Carey Inc,Medical Laboratory Science,"Pathology, Biochemistry, Lab Techniques",Abuja,Administrative Intern
7789,Figueroa LLC,Computer Science,"Java, C++",Kano,Software Engineering Intern
7790,"Mejia, Ward and Myers",Civil Engineering,"Construction Management, AutoCAD, Structural Analysis",Enugu,Civil Engineering Intern
7791,Gardner-Lozano,Medical Laboratory Science,"Microscopy, Biochemistry",Port Harcourt,Administrative Intern
7792,"Perry, Roth and Doyle",Electrical Engineering,"C++, Signal Processing",Ibadan,Electrical Engineering Intern
7793,"Silva, Blackwell and Miller",Civil Engineering,"Construction Management, AutoCAD, Surveying",Lagos,Civil Engineering Intern
7794,Smith-Brown,Computer Science,"Java, Python",Aba,Software Engineering Intern
7795,Ramirez Ltd,Architecture,"Urban Planning, Sustainable Architecture",Lagos,Administrative Intern
7796,Stout PLC,Mechanical Engineering,SolidWorks,Ibadan,Mechanical Engineering Intern
7797,Dickerson LLC,Pharmacy,"Clinical Pharmacy, Pharmacology, Chemistry",Enugu,Administrative Intern
7798,Morrison-Santiago,Nursing Science,"Anatomy, Pharmacology, Clinical Practice",Enugu,Nursing Intern
7799,Garcia Inc,Mechanical Engineering,"MATLAB, CAD, SolidWorks",Kano,Mechanical Engineering Intern
7800,Garrett-Price,Electrical Engineering,"Power Systems, Signal Processing, Embedded Systems",Abuja,Electrical Engineering Intern
7801,Kelly-Murray,Computer Science,"ML, C++",Benin City,Software Engineering Intern
7802,Diaz-Turner,Civil Engineering,"Structural Analysis, Construction Management",Kano,Civil Engineering Intern
7803,"Gomez, Banks and Lee",Business Administration,"Finance, Marketing, Human Resources",Kano,HR Intern
7804,Gonzales Inc,Mechanical Engineering,MATLAB,Aba,Mechanical Engineering Intern
7805,Ford-Marks,Pharmacy,"Drug Design, Chemistry",Enugu,Design Intern
7806,"Sanders, Brown and Turner",Mechanical Engineering,SolidWorks,Kano,Mechanical Engineering Intern
7807,"Williams, Ayala and Duffy",Pharmacy,"Chemistry, Pharmacology",Kano,Administrative Intern
7808,Hayes and Sons,Business Administration,Management,Port Harcourt,Business Intern
7809,Russell-Cervantes,Architecture,Urban Planning,Kaduna,Administrative Intern
7810,Garcia and Sons,Mechanical Engineering,MATLAB,Port Harcourt,Mechanical Engineering Intern
7811,Daugherty-Cochran,Petroleum Engineering,Drilling,Onitsha,Petroleum Engineering Intern
7812,Phillips Ltd,Pharmacy,"Clinical Pharmacy, Chemistry",Ibadan,Administrative Intern
7813,Bailey Inc,Petroleum Engineering,"Reservoir Engineering, Geophysics, Oil Field Operations",Onitsha,Petroleum Engineering Intern
